dataset_id,db_title,aliases,links,paper_count,task_count,dataset_use_count
dataset_d55b16e3041b,Materials Project,Materials Project,https://huggingface.co/datasets/caobin/CPPbenchmark; https://materialsproject.org; https://materialsproject.org/; https://next-gen.materialsproject.org,7,7,7
dataset_19d1b1004506,JARVIS-DFT,JARVIS-DFT,https://jarvis.nist.gov; https://jarvis.nist.gov/; https://jarvis.nist.gov/jarvisdft/,4,4,4
dataset_3ee88ee61ae1,MatBench,MatBench; Matbench,https://matbench.materialsproject.org; https://matbench.materialsproject.org/,3,3,3
dataset_388341d260b1,TSENN Dielectric Tensor Dataset,TSENN Dielectric Tensor Dataset,https://github.com/qmatyanlab/TSENN,1,1,1
dataset_1fa6a732a3e7,Materials Project (MP) v.2022.10.28,Materials Project (MP) v.2022.10.28,https://materialsproject.org,1,1,1
dataset_c103a7259773,Wang-Botti-Marques (WBM) dataset,Wang-Botti-Marques (WBM) dataset,https://figshare.com/articles/dataset/22715158,1,1,1
dataset_9b0af3c4a714,Materials Project (MP),Materials Project (MP),https://materialsproject.org; https://materialsproject.org/,7,7,7
dataset_443302f4d44c,Open Quantum Materials Database (OQMD),Open Quantum Materials Database (OQMD),https://oqmd.org/,2,2,2
dataset_bbdab7ef4ee7,JARVIS (Joint Automated Repository for Various Integrated Simulations),JARVIS (Joint Automated Repository for Various Integrated Simulations),https://jarvis.nist.gov,2,2,2
dataset_73ff91b25d14,C2DB (Computational 2D Materials Database),C2DB (Computational 2D Materials Database),,1,1,1
dataset_fb64b91da67e,2DMatPedia,2DMatPedia,,1,1,1
dataset_12a3418563ef,Perovskite Halides Dataset (literature-curated),Perovskite Halides Dataset (literature-curated),,1,1,1
dataset_b8405d6f3030,Li-containing Oxides Dataset (MP-derived),Li-containing Oxides Dataset (MP-derived),,1,1,1
dataset_c106bbbaba02,Transition Metal Oxides Dataset (MP-derived),Transition Metal Oxides Dataset (MP-derived),,1,1,1
dataset_3398d43c9118,Double Perovskite Oxides Database (Talapatra et al.),Double Perovskite Oxides Database (Talapatra et al.),,1,1,1
dataset_21f2e95f846f,Materials Project (MP) database,Materials Project (MP) database,https://materialsproject.org; https://next-gen.materialsproject.org/,2,2,2
dataset_87d101d436e7,Materials Project (MP*) database,Materials Project (MP*) database,https://materialsproject.org,1,1,1
dataset_22e101c9fff4,JARVIS dataset,JARVIS Dataset; JARVIS dataset,https://jarvis.nist.gov; https://jarvis.nist.gov/,2,2,2
dataset_9a7a3a5a092f,MC3D dataset,MC3D dataset,https://github.com/usnistgov/jarvis/tree/master/jarvis/core,1,1,1
dataset_5c7ca4a58a54,Hybrid Organic-Inorganic Perovskite (HOIP) dataset,Hybrid Organic-Inorganic Perovskite (HOIP) dataset,https://doi.org/10.1038/sdata.2017.152,1,1,1
dataset_5e75a39f5247,Computational 2D Materials Database (C2DB),Computational 2D Materials Database (C2DB),https://c2db.fysik.dtu.dk/,1,1,1
dataset_3d1fc9ebc1ce,JARVIS Database,JARVIS Database,https://jarvis.nist.gov/,1,1,1
dataset_8030c6211eeb,HiBoFL Local Database (PET-derived),HiBoFL Local Database (PET-derived),,1,1,1
dataset_da938cf04999,TextEdge,TextEdge,https://drive.google.com/drive/folders/1YCDBzwjwNRIc1FRkB662G3Y5AOWaokUG,1,1,1
dataset_2e1ced6293e7,JARVIS-DFT 3D 2021,JARVIS-DFT 3D 2021,https://jarvis.nist.gov/,1,1,1
dataset_39bdea8c48d7,"380,743 Unlabeled Crystal Structures (Merchant et al. 2023-derived)","380,743 Unlabeled Crystal Structures (Merchant et al. 2023-derived)",,1,1,1
dataset_5c0a4679df96,Materials Project Dataset,Materials Project Dataset,https://materialsproject.org/,1,1,1
dataset_6786b1d74e0a,Materials Project 2021 (MP21),Materials Project 2021 (MP21),https://materialsproject.org,1,1,1
dataset_487cfa495675,In-house DFT-relaxed novel structures dataset,In-house DFT-relaxed novel structures dataset,,1,1,1
dataset_f652501a560b,OpenKIM Interatomic Potential Repository,OpenKIM Interatomic Potential Repository,https://openkim.org,1,1,1
dataset_c666648c615a,Custom DFT dataset for FCC metals,Custom DFT dataset for FCC metals,,1,1,1
dataset_44aa2507e9ca,RadonPy Polymer Dataset,RadonPy Polymer Dataset,,1,1,1
dataset_d203a8c10088,HOIP Dataset (Hybrid Organic–Inorganic Perovskite Dataset),HOIP Dataset (Hybrid Organic–Inorganic Perovskite Dataset),https://doi.org/10.5061/dryad.gq3rg,1,1,1
dataset_9dcd35cc7ac5,OQMD (Open Quantum Materials Database),OQMD (Open Quantum Materials Database),https://oqmd.org; https://oqmd.org/; https://www.oqmd.org,3,3,3
dataset_bad7a184ddcb,AFLOW,AFLOW,https://aflowlib.org,1,1,1
dataset_c9e7ecfca1a5,MoleculeNet,MoleculeNet,https://moleculenet.org,1,1,1
dataset_fed40cdb3663,Materials Project (v2023.11.1) Dielectric Dataset,Materials Project (v2023.11.1) Dielectric Dataset,https://next-gen.materialsproject.org/api,1,1,1
dataset_b8ea499a027c,Matbench Dielectric Task,Matbench Dielectric Task,https://matbench.materialsvirtuallab.org/,1,1,1
dataset_238e0bbaedd0,JARVIS-DFT dataset,JARVIS-DFT dataset,https://jarvis.nist.gov/,1,1,1
dataset_e3bdea4f0a48,JARVIS,JARVIS,https://jarvis.nist.gov/,1,1,1
dataset_73793514270f,The Materials Project,The Materials Project,https://materialsproject.org/,1,1,1
dataset_36fcd91f0b6f,Materials Project (MEGNet),Materials Project (MEGNet),https://materialsproject.org/,1,1,1
dataset_dcecb1e19bfa,JARVIS-DFT (3D 2021),JARVIS-DFT (3D 2021),https://jarvis.nist.gov/,1,1,1
dataset_11b359c2e5db,OQMD-EXP,OQMD-EXP,https://oqmd.org/,1,1,1
dataset_7875724e8441,JARVIS-3D,JARVIS-3D,https://jarvis.nist.gov,1,1,1
dataset_9af6a2663ebe,JARVIS-2D,JARVIS-2D,https://jarvis.nist.gov,1,1,1
dataset_7bc0d43a09a6,Harvard Organic Photovoltaic Dataset (HOPV),Harvard Organic Photovoltaic Dataset (HOPV),https://ndownloader.figshare.com/files/28814184,1,1,1
dataset_f411da0b16e9,Flla,Flla,https://github.com/hackingmaterials/automatminer,1,1,1
dataset_4cec85f7e56b,Dielectric Constant (DC) Database,Dielectric Constant (DC) Database,https://github.com/hackingmaterials/automatminer,1,1,1
dataset_15268f4f647c,Piezoelectric Tensor (PT) Database,Piezoelectric Tensor (PT) Database,https://github.com/hackingmaterials/automatminer,1,1,1
dataset_0e01c8954e53,Experimental Formation Energy (EFE),Experimental Formation Energy (EFE),https://github.com/hackingmaterials/automatminer,1,1,1
dataset_9cdd86c92052,Kingsbury Experimental Formation Energy (KEFE),Kingsbury Experimental Formation Energy (KEFE),https://github.com/hackingmaterials/automatminer,1,1,1
dataset_de06b5abdabd,Kingsbury Experimental Bandgap (KEB),Kingsbury Experimental Bandgap (KEB),https://github.com/hackingmaterials/automatminer,1,1,1
dataset_b4597821bf19,Materials Project (MP) charge density dataset,Materials Project (MP) charge density dataset,https://api.materialsproject.org,1,1,1
dataset_f281b31ea1d7,QM9 charge density dataset,QM9 charge density dataset,https://doi.org/10.1038/sdata.2014.22; https://doi.org/10.11583/DTU.16794500.v1,2,2,2
dataset_0dd86632acbe,NMC (Nickel Manganese Cobalt) battery cathode dataset,NMC (Nickel Manganese Cobalt) battery cathode dataset,https://doi.org/10.11583/DTU.16837721.v1,1,1,1
dataset_c17327be4ec0,GNoME materials dataset (subset),GNoME materials dataset (subset),https://doi.org/10.1038/s41586-023-06735-9,1,1,1
dataset_876dcbb1c40c,MatScholar embeddings,MatScholar embeddings,https://doi.org/10.1038/s41586-019-1312-1,1,1,1
dataset_25d67dd6d824,Mendeleev similarity metrics,Mendeleev similarity metrics,https://doi.org/10.1021/acs.chemmater.0c02922,1,1,1
dataset_03047ecfd3fa,XRD features (from Pymatgen),XRD features (from Pymatgen),https://pymatgen.org,1,1,1
dataset_bb3f8a1b6b1a,OFM (Orbital Field Matrix) features,OFM (Orbital Field Matrix) features,https://doi.org/10.1038/s41524-022-00822-2,1,1,1
dataset_bbb9b2c9c374,Materials Project Phonon Database (DFPT-based),Materials Project Phonon Database (DFPT-based),,1,1,1
dataset_ec1f8697696a,PhononDB (Kyoto University),PhononDB (Kyoto University),http://phonondb.mtl.kyoto-u.ac.jp/,1,1,1
dataset_cf6d81744e01,Materials Project (MP) Γ-Phonon Database (VGNN-predicted),Materials Project (MP) Γ-Phonon Database (VGNN-predicted),https://osf.io/k5utb/,1,1,1
dataset_86312aeda355,JARVIS-Tools datasets,JARVIS-Tools datasets,https://pages.nist.gov/jarvis/databases/,1,1,1
dataset_1156b8b635d2,QM9,QM9,https://doi.org/10.6084/m9.figshare.978961,1,1,1
dataset_5a37f415d2cf,Experimental round-robin CO₂ adsorption data for ZSM-5 zeolite,Experimental round-robin CO₂ adsorption data for ZSM-5 zeolite,https://doi.org/10.1007/s10450-018-9952-0,1,1,1
dataset_f5fc3794aeae,matbench_dielectric,matbench_dielectric,https://matbench.materialsproject.org/,1,1,1
dataset_4399a5640bb0,matbench_log_gvrh,matbench_log_gvrh,https://matbench.materialsproject.org/,1,1,1
dataset_c8ab0d98814b,matbench_perovskites,matbench_perovskites,https://matbench.materialsproject.org/,1,1,1
dataset_ad5cbf31abd4,MD charge density dataset,MD charge density dataset,https://doi.org/10.1038/ncomms1572,1,1,1
dataset_06c899bfb490,Cubic charge density dataset,Cubic charge density dataset,https://doi.org/10.1038/s41597-022-00059-9,1,1,1
dataset_a1d68951db7c,SuperCon3D,SuperCon3D,https://github.com/pincher-chen/SODNet,1,1,1
dataset_bb8812555b23,ICSD (Inorganic Crystal Structure Database),ICSD (Inorganic Crystal Structure Database),https://icsd.products.fiz-karlsruhe.de/,1,1,1
