paper_id,paper_file,title,task_count,dataset_count
paper_5138be33ab55,01_PRDNet.pdf,01 PRDNet,1,3
paper_de33568ea5f1,02_CFT_Space_Group_Invariance.pdf,02 CFT Space Group Invariance,1,1
paper_cd706e251a5b,03_Tensorial_Spectra.pdf,03 Tensorial Spectra,1,1
paper_a008eb6410ec,04_Matbench_Discovery.pdf,04 Matbench Discovery,1,2
paper_dfa00819e2d0,05_Thermodynamic_Stability_Ensemble.pdf,05 Thermodynamic Stability Ensemble,1,9
paper_dd99eeb08a7c,06_Transformer_Atomic_Embeddings.pdf,06 Transformer Atomic Embeddings,1,4
paper_527363b91d18,07_EATGNN_Piezoelectric_Tensor.pdf,07 EATGNN Piezoelectric Tensor,1,3
paper_cdf2df178098,08_HiBoFL_Thermal_Conductivity.pdf,08 HiBoFL Thermal Conductivity,1,2
paper_ff6e0dbcf294,09_LLM_Prop.pdf,09 LLM Prop,1,2
paper_376c54bdb055,10_CrystalFramer.pdf,10 CrystalFramer,1,3
paper_7100e5964f9d,11_DPF.pdf,11 DPF,1,3
paper_9e212a4383a8,12_PDDFormer.pdf,12 PDDFormer,1,2
paper_f11b018703ad,13_CrysCo.pdf,13 CrysCo,1,2
paper_471a9187e021,14_Cross_Scale_Covariance.pdf,14 Cross Scale Covariance,1,2
paper_92747bbddb26,15_Extrapolative_Episodic_Training.pdf,15 Extrapolative Episodic Training,1,2
paper_cd925085a1df,16_OOD_Generalization_Materials.pdf,16 OOD Generalization Materials,1,3
paper_0accd46e95fd,17_Known_Unknowns_OOD.pdf,17 Known Unknowns OOD,1,4
paper_068c396e3b41,19_DTNet_Dielectric_Tensor.pdf,19 DTNet Dielectric Tensor,1,2
paper_e25217f4266d,20_GMTNet.pdf,20 GMTNet,1,1
paper_7eb9d3cfd258,21_ComFormer.pdf,21 ComFormer,1,3
paper_1572685de644,22_Crystalformer.pdf,22 Crystalformer,1,2
paper_0010b7688bb5,23_CrysDiff.pdf,23 CrysDiff,1,3
paper_a9ca0fbfd8f7,24_Structure_Aware_Transfer_Learning.pdf,24 Structure Aware Transfer Learning,1,10
paper_a54c14466f4e,25_ChargE3Net.pdf,25 ChargE3Net,1,4
paper_364d763e5978,26_MD_HIT.pdf,26 MD HIT,1,5
paper_1e2428d6caf8,27_Virtual_Node_Phonon_Preprint.pdf,27 Virtual Node Phonon Preprint,1,3
paper_30ac315b16dd,28_JARVIS_Leaderboard.pdf,28 JARVIS Leaderboard,1,5
paper_78a37cf3530b,29_Structure_OOD_Benchmark.pdf,29 Structure OOD Benchmark,1,3
paper_2532122b8c09,30_Charge_Density_Recipe.pdf,30 Charge Density Recipe,1,3
paper_3d03cb8978f0,31_Superconductivity_Ordered_Disordered.pdf,31 Superconductivity Ordered Disordered,1,5
paper_059ecd6b2879,45_Crystal Diffusion Variational Autoencoder for Periodic Material Generation.pdf,45 Crystal Diffusion Variational Autoencoder for Periodic Material Generation,1,3
paper_6118ea4781c2,46_Novel inorganic crystal structures predicted using autonomous simulation agents.pdf,46 Novel inorganic crystal structures predicted using autonomous simulation agents,1,2
paper_36f841efafcc,47_Data-driven discovery of 2D materials by deep generative models.pdf,47 Data-driven discovery of 2D materials by deep generative models,1,2
paper_f0cf989c5803,48_Crystal Structure Prediction by Joint Equivariant Diffusion.pdf,48 Crystal Structure Prediction by Joint Equivariant Diffusion,1,4
paper_9590927c40b1,49_Towards Symmetry-Aware Generation of Periodic Materials.pdf,49 Towards Symmetry-Aware Generation of Periodic Materials,1,3
paper_56980a027536,50_Diffusion probabilistic models enhance variational autoencoder for crystal structure generative modeling.pdf,50 Diffusion probabilistic models enhance variational autoencoder for crystal structure generative modeling,1,3
paper_772c016eb4f3,51_Unified Model for Crystalline Material Generation.pdf,51 Unified Model for Crystalline Material Generation,1,3
paper_8e29f3c6727b,52_Optimized Crystallographic Graph Generation for Material Science.pdf,52 Optimized Crystallographic Graph Generation for Material Science,1,1
paper_94d7baa55ca3,53_Physics guided deep learning for generative design of crystal materials with symmetry constraints.pdf,53 Physics guided deep learning for generative design of crystal materials with symmetry constraints,1,2
paper_75a1d2c5ae0c,"54_An invertible, invariant crystal representation for inverse design of solid-state materials using generative deep learning.pdf","54 An invertible, invariant crystal representation for inverse design of solid-state materials using generative deep learning",1,4
paper_53e3f0257d20,55_Equivariant Diffusion for Crystal Structure Prediction.pdf,55 Equivariant Diffusion for Crystal Structure Prediction,1,4
paper_34af966c7e0c,56_Guided diffusion for the discovery of new superconductors.pdf,56 Guided diffusion for the discovery of new superconductors,1,2
paper_ce88dbcd5192,57_Scalable Diffusion for Materials Generation.pdf,57 Scalable Diffusion for Materials Generation,1,5
paper_ccf308624647,58_Space Group Constrained Crystal Generation.pdf,58 Space Group Constrained Crystal Generation,1,4
paper_54428f0cbb22,60_Crystal structure generation with autoregressive large language modeling.pdf,60 Crystal structure generation with autoregressive large language modeling,1,7
paper_6637ee579b89,61_Deep learning generative model for crystal structure prediction.pdf,61 Deep learning generative model for crystal structure prediction,1,3
paper_ceafc75bc578,62_A deep generative modeling architecture for designing lattice-constrained perovskite materials.pdf,62 A deep generative modeling architecture for designing lattice-constrained perovskite materials,1,3
paper_bb135e1ac6e4,63_Fine-Tuned Language Models Generate Stable Inorganic Materials as Text.pdf,63 Fine-Tuned Language Models Generate Stable Inorganic Materials as Text,1,2
paper_3d01e399def4,65_Invariant Tokenization of Crystalline Materials for Language Model Enabled Generation.pdf,65 Invariant Tokenization of Crystalline Materials for Language Model Enabled Generation,1,8
paper_81cae97881af,66_3D Structure Prediction of Atomic Systems with Flow-based Direct Preference Optimization.pdf,66 3D Structure Prediction of Atomic Systems with Flow-based Direct Preference Optimization,2,5
paper_fce3aff65e46,67_Generative Hierarchical Materials Search.pdf,67 Generative Hierarchical Materials Search,1,5
paper_1334442567d4,68_Diffusion models for conditional generation of hypothetical new families of superconductors.pdf,68 Diffusion models for conditional generation of hypothetical new families of superconductors,1,1
paper_872e1a985b36,69_Shotgun crystal structure prediction using machine-learned formation energies.pdf,69 Shotgun crystal structure prediction using machine-learned formation energies,1,3
paper_2eb7b89c081a,70_Scalable crystal structure relaxation using an iteration-free deep generative model with uncertainty quantification.pdf,70 Scalable crystal structure relaxation using an iteration-free deep generative model with uncertainty quantification,1,5
paper_e1837a8e69e3,71_A generative model for inorganic materials design.pdf,71 A generative model for inorganic materials design,1,6
paper_7f27ce8916be,72_Establishing baselines for generative discovery of inorganic crystals.pdf,72 Establishing baselines for generative discovery of inorganic crystals,1,5
paper_da833d40a902,75_Periodic Materials Generation using Text-Guided Joint Diffusion Model.pdf,75 Periodic Materials Generation using Text-Guided Joint Diffusion Model,1,3
paper_e6f9fa1fe07e,76_A Periodic Bayesian Flow for Material Generation.pdf,76 A Periodic Bayesian Flow for Material Generation,1,4
paper_bbc5660ef5b1,77_Accelerating crystal structure search through active learning with neural networks for rapid relaxations.pdf,77 Accelerating crystal structure search through active learning with neural networks for rapid relaxations,1,2
paper_a180fe31f190,78_Exploration of crystal chemical space using text-guided generative artificial intelligence.pdf,78 Exploration of crystal chemical space using text-guided generative artificial intelligence,1,2
