dataset_use_id,paper_id,task_id,dataset_id,paper_file,db_title,original_db_title,db_description,db_link,rd_stages
dataset_use_eb53342235c5,paper_5138be33ab55,task_b7092f83ac79,dataset_d55b16e3041b,01_PRDNet.pdf,Materials Project,Materials Project,"A large-scale DFT-computed database of inorganic crystalline materials containing 122,959 stable structures, each annotated with formation energy, band gap, metal/non-metal classification, and—on a subset of 9,473 entries—mechanical properties including bulk modulus, shear modulus, and Young’s modulus. The dataset is used in this paper to train and evaluate PRDNet for multi-task crystal property prediction, serving as the primary benchmark for regression and classification tasks.",https://huggingface.co/datasets/caobin/CPPbenchmark,Dataset Selection; Screening / Prediction; Benchmarking / Evaluation
dataset_use_77880778a960,paper_5138be33ab55,task_b7092f83ac79,dataset_19d1b1004506,01_PRDNet.pdf,JARVIS-DFT,JARVIS-DFT,"A DFT-based dataset comprising 75,993 3D crystal structures (dft_3d), each annotated with formation energy, band gap (computed using both OPT and MBJ functionals), bulk modulus, shear modulus, total energy, and energy above hull (Ehull). It also includes the JARVIS-DFT-3D-2021 subset (55,723 entries). This dataset supports comprehensive evaluation of PRDNet across diverse electronic and mechanical property prediction tasks, with emphasis on robustness across computational functionals and stability metrics.",None,Dataset Selection; Screening / Prediction; Benchmarking / Evaluation
dataset_use_1f147f5f103e,paper_5138be33ab55,task_b7092f83ac79,dataset_3ee88ee61ae1,01_PRDNet.pdf,Matbench,MatBench,"A standardized benchmark suite for materials property prediction containing several task-specific datasets: matbench_jdft2d (636 layered materials, exfoliation energy), matbench_mp_e_form (132,752 structures, formation energy), matbench_log_gvrh (10,987 structures, shear modulus), and matbench_dielectric (4,764 structures, refractive index). These are used to assess PRDNet’s generalization across heterogeneous property types, low-data regimes, and distinct material families (e.g., 2D vs. 3D), enabling fair comparison against state-of-the-art baselines.",None,Dataset Selection; Screening / Prediction; Benchmarking / Evaluation
dataset_use_2f4d93fd1a7c,paper_de33568ea5f1,task_c227f1543640,dataset_d55b16e3041b,02_CFT_Space_Group_Invariance.pdf,Materials Project,Materials Project,"A large-scale computational database of crystalline materials containing over 150,000 entries with calculated properties including total energy (eV/atom), band gap (eV), bulk modulus (log GPa), and shear modulus (log GPa). Each entry includes atomic numbers, fractional atomic coordinates within the unit cell, 3×3 lattice vectors, and space group identifier (1–230). The dataset is used in this paper to train and evaluate the Crystal Fourier Transformer for material property prediction and zero-shot generalization across space groups.",https://materialsproject.org,Dataset Selection; Representation / Feature Construction; Screening / Prediction
dataset_use_81627c0d8816,paper_cd706e251a5b,task_51f3a5d84dad,dataset_388341d260b1,03_Tensorial_Spectra.pdf,TSENN Dielectric Tensor Dataset,TSENN Dielectric Tensor Dataset,"A custom-curated dataset of 1,432 nonmagnetic bulk semiconductors, selected from the Materials Project based on bandgap (0.3–3 eV), structural stability (energy-above-hull < 0.02 eV/atom), compositional simplicity (<3 elements, <10 atoms/unit cell), and absence of f-electron elements. For each material, first-principles dielectric tensors εαβ(ω) = εαβ₁(ω) + iεαβ₂ were computed using OpenMX within the independent-particle approximation (IPA) via the Kubo formula across 3,001 photon energies (0–30 eV, step 0.01 eV), yielding 1,432 full frequency-dependent complex dielectric tensors satisfying crystal symmetry constraints. This dataset is used to train and evaluate the TSENN model for predicting the complete tensorial optical spectra.",https://github.com/qmatyanlab/TSENN,Dataset Selection; Representation / Feature Construction; Model Training; Screening / Prediction
dataset_use_0b201a64b0aa,paper_a008eb6410ec,task_b112dbffd75c,dataset_d55b16e3041b,04_Matbench_Discovery.pdf,Materials Project,Materials Project (MP) v.2022.10.28,"A high-throughput DFT-computed database of ~154,719 inorganic crystals, providing relaxed and initial structures, full relaxation trajectories (energies, forces, stresses, magnetic moments at each ionic step), and formation energies. Used as the training set for all models in Matbench Discovery to learn mappings from atomic structure to energy-related properties, supporting the core task of predicting hull distance for stability classification.",https://materialsproject.org,Problem Definition; Dataset Selection; Model Training; Screening / Prediction; Validation
dataset_use_4c12b3531b62,paper_a008eb6410ec,task_b112dbffd75c,dataset_c103a7259773,04_Matbench_Discovery.pdf,Wang-Botti-Marques (WBM) dataset,Wang-Botti-Marques (WBM) dataset,"A prospectively generated test set of 215,488 unique protostructures derived via chemical similarity-based elemental substitution on MP source structures, followed by DFT relaxation and hull distance calculation against the MP convex hull. Contains unrelaxed input structures and their corresponding DFT-relaxed hull distances (target labels). Used exclusively for evaluating model performance on the stability prediction task under realistic discovery conditions — i.e., predicting stability from unrelaxed inputs without access to relaxation information.",https://figshare.com/articles/dataset/22715158,Problem Definition; Candidate Space Construction; Dataset Selection; Screening / Prediction; Validation
dataset_use_75e15c27a639,paper_dfa00819e2d0,task_134b6e57d77b,dataset_d55b16e3041b,05_Thermodynamic_Stability_Ensemble.pdf,Materials Project,Materials Project (MP),"A large-scale DFT-computed database containing thermodynamic properties (e.g., formation energy, decomposition energy) for 85,014 inorganic crystalline compounds, including experimentally observed and hypothetical materials. Used as the primary training and benchmarking dataset to train and evaluate the ECSG ensemble model for binary classification of compound stability; also used to construct convex hulls for ΔHd labeling and to extract composition-only samples for sample efficiency analysis.",https://materialsproject.org,Dataset Selection; Model Training; Screening / Prediction; Validation; Benchmarking / Evaluation
dataset_use_edcc03281ee7,paper_dfa00819e2d0,task_134b6e57d77b,dataset_f6b0e6dabd69,05_Thermodynamic_Stability_Ensemble.pdf,Open Quantum Materials Database,Open Quantum Materials Database (OQMD),"A DFT-generated database of predicted inorganic materials, providing formation energies and structural data for over 400,000 compounds. Used alongside MP and JARVIS for cross-database performance validation of ECSG, particularly to assess robustness under class imbalance (11.3% stable samples) and to serve as a reference convex hull for DFT validation of predicted perovskite oxides.",None,Dataset Selection; Screening / Prediction; Validation
dataset_use_992fc756b44d,paper_dfa00819e2d0,task_134b6e57d77b,dataset_3d1fc9ebc1ce,05_Thermodynamic_Stability_Ensemble.pdf,JARVIS Database,JARVIS (Joint Automated Repository for Various Integrated Simulations),"A DFT-based materials database offering structural, electronic, and thermodynamic properties for ~100,000+ materials, curated for data-driven design. Used to benchmark ECSG’s classification performance (achieving AUC = 0.988) and as an independent convex hull reference for validating DFT-predicted stability of double perovskite oxides selected by ECSG.",None,Dataset Selection; Screening / Prediction; Benchmarking / Evaluation
dataset_use_6e03492b67fb,paper_dfa00819e2d0,task_134b6e57d77b,dataset_68145cf04333,05_Thermodynamic_Stability_Ensemble.pdf,C2DB,C2DB (Computational 2D Materials Database),"A high-throughput DFT database containing structural, electronic, and thermodynamic data for over 4,000 atomically thin 2D materials. Used to train a specialized ECSG variant for predicting thermodynamic stability of 2D materials, supporting the case study on wide-bandgap semiconductor screening.",None,Dataset Selection; Screening / Prediction
dataset_use_cc2c8c8cc41b,paper_dfa00819e2d0,task_134b6e57d77b,dataset_fb64b91da67e,05_Thermodynamic_Stability_Ensemble.pdf,2DMatPedia,2DMatPedia,"A computational database of 4,743 2D materials with precomputed bandgaps and stability labels derived from DFT. Used as an independent test set to evaluate ECSG’s stability predictions for 2D materials and to validate the joint screening pipeline (ECSG + DARWIN-7B LLM) for wide-bandgap semiconductors, yielding 313 experimentally stable candidates out of 393 predicted.",None,Dataset Selection; Screening / Prediction; Validation
dataset_use_519dded6e7f0,paper_dfa00819e2d0,task_134b6e57d77b,dataset_12a3418563ef,05_Thermodynamic_Stability_Ensemble.pdf,Perovskite Halides Dataset (literature-curated),Perovskite Halides Dataset (literature-curated),"A manually compiled dataset of thermodynamic stability labels for 496 perovskite halides (ABX₃, X = Cl/Br/I) extracted from prior literature; duplicates present in MP were removed to ensure independence. Used to evaluate ECSG’s generalization to unknown chemical space — specifically, its ability to predict stability for perovskite halides not represented in the MP training set.",None,Dataset Selection; Model Training; Screening / Prediction
dataset_use_f23cb13e399f,paper_dfa00819e2d0,task_134b6e57d77b,dataset_b8405d6f3030,05_Thermodynamic_Stability_Ensemble.pdf,Li-containing Oxides Dataset (MP-derived),Li-containing Oxides Dataset (MP-derived),"A subset of 6,168 lithium-containing oxides (750 stable) extracted from the MP database, fully excluded from the MP training set to create a zero-shot evaluation scenario. Used to test ECSG’s predictive capability in a completely unfamiliar compositional space (Li–O systems), demonstrating its utility for cathode material discovery in Li-ion batteries.",None,Dataset Selection; Model Training; Screening / Prediction
dataset_use_4ca1b02de040,paper_dfa00819e2d0,task_134b6e57d77b,dataset_c106bbbaba02,05_Thermodynamic_Stability_Ensemble.pdf,Transition Metal Oxides Dataset (MP-derived),Transition Metal Oxides Dataset (MP-derived),"A subset of 7,137 transition metal oxides (1,211 stable) extracted from MP, with all samples withheld from training to form an out-of-distribution test set. Used to assess ECSG’s generalization to Fe- and Mn-containing oxides — representing another unknown space — and to confirm robust stability prediction under moderate class imbalance (17.0% stable).",None,Dataset Selection; Model Training; Screening / Prediction; Validation
dataset_use_4c3fc1a3278e,paper_dfa00819e2d0,task_134b6e57d77b,dataset_3398d43c9118,05_Thermodynamic_Stability_Ensemble.pdf,Double Perovskite Oxides Database (Talapatra et al.),Double Perovskite Oxides Database (Talapatra et al.),"A custom-curated database of 1,333 single and double perovskite oxides with DFT-calculated stability labels, used to train a specialized ECSG variant incorporating site-specific features for perovskite A/B-site discrimination. Served as the foundation for high-throughput prediction across a candidate space of >4.5 million compositions and subsequent DFT validation of top-ranked predictions.",None,Candidate Space Construction; Dataset Selection; Representation / Feature Construction; Screening / Prediction; Validation
dataset_use_b6c12572d788,paper_dd99eeb08a7c,task_337f2d813b5e,dataset_d55b16e3041b,06_Transformer_Atomic_Embeddings.pdf,Materials Project,Materials Project (MP) database,"The 2018.6.1 version contains 69,239 crystalline materials with computed formation energies (Ef) and PBE bandgaps (Eg); used for training and evaluating back-end models (e.g., CGCNN, ALIGNN, MEGNET) and benchmarking ct-UAE performance on formation energy and bandgap prediction. The dataset is split into 60,000 training, 5,000 validation, and 4,239 test samples. It supports the core task by providing ground-truth labels for supervised pretraining of front-end embeddings and downstream property prediction evaluation.",https://materialsproject.org,Dataset Selection; Model Training; Screening / Prediction; Validation; Benchmarking / Evaluation
dataset_use_5a2f67a5af9b,paper_dd99eeb08a7c,task_337f2d813b5e,dataset_d55b16e3041b,06_Transformer_Atomic_Embeddings.pdf,Materials Project,Materials Project (MP*) database,"The 2023.6.23 version contains 134,243 materials with formation energy and PBE bandgap; used as the primary large-scale dataset to pretrain the CrystalTransformer front-end model for generating universal atomic embeddings (ct-UAEs). Split into 80% training, 10% validation, and 10% testing sets, it enables multi-task pretraining (e.g., Ef + Eg, Ef + Eg + total energy + magnetization) and supports the task of learning transferable, physics-informed atomic representations independent of predefined features.",https://materialsproject.org,Dataset Selection; Representation / Feature Construction; Model Training; Screening / Prediction
dataset_use_d9081ae49cf6,paper_dd99eeb08a7c,task_337f2d813b5e,dataset_3d1fc9ebc1ce,06_Transformer_Atomic_Embeddings.pdf,JARVIS Database,JARVIS dataset,"A curated collection of ~50,000 materials with formation energies and bandgaps, derived from high-throughput DFT calculations; used to evaluate the transferability of ct-UAEs across independent databases. Specifically employed to test ct-UAE-enhanced CGCNN and MEGNET models on formation energy and bandgap prediction, demonstrating consistent accuracy improvements (e.g., 17.5% MAE reduction for Ef), thereby supporting the task of validating cross-database generalizability of universal atomic embeddings.",https://jarvis.nist.gov,Dataset Selection; Model Training; Screening / Prediction; Benchmarking / Evaluation
