dataset_id,db_title,aliases,links,paper_count,task_count,dataset_use_count
dataset_d55b16e3041b,Materials Project,Materials Project; Materials Project (2021 snapshot); Materials Project (MEGNet); Materials Project (MP); Materials Project (MP) 2018.6.1; Materials Project (MP) database; Materials Project (MP) v.2022.10.28; Materials Project (MP*) database; Materials Project 2021 (MP21); Materials Project Dataset; Materials Project database; The Materials Project,https://huggingface.co/datasets/caobin/CPPbenchmark; https://materialsproject.org; https://materialsproject.org/; https://next-gen.materialsproject.org; https://next-gen.materialsproject.org/,29,29,30
dataset_19d1b1004506,JARVIS-DFT,JARVIS-3D; JARVIS-DFT; JARVIS-DFT (2021.8.18); JARVIS-DFT (3D 2021); JARVIS-DFT 3D 2021; JARVIS-DFT dataset,https://figshare.com/collections/JARVIS-DFT/4301672; https://jarvis.nist.gov; https://jarvis.nist.gov/; https://jarvis.nist.gov/jarvisdft/,12,12,12
dataset_3ee88ee61ae1,Matbench,MatBench; Matbench; Matbench v0.1,https://hackingmaterials.lbl.gov/automatminer/datasets.html; https://matbench.materialsproject.org; https://matbench.materialsproject.org/,5,5,5
dataset_388341d260b1,TSENN Dielectric Tensor Dataset,TSENN Dielectric Tensor Dataset,https://github.com/qmatyanlab/TSENN,1,1,1
dataset_c103a7259773,Wang-Botti-Marques (WBM) dataset,Wang-Botti-Marques (WBM) dataset; Wang–Botti–Marques (WBM) dataset,https://doi.org/10.1038/s41524-020-00472-z; https://figshare.com/articles/dataset/22715158,2,2,2
dataset_f6b0e6dabd69,Open Quantum Materials Database,"OQMD (Open Quantum Materials Database); OQMD-EXP; Open Quantum Materials Database (OQMD); Open Quantum Materials Database (OQMD, 2021 snapshot)",http://oqmd.org; https://oqmd.org; https://oqmd.org/; https://www.oqmd.org,8,8,9
dataset_3d1fc9ebc1ce,JARVIS Database,JARVIS; JARVIS (Joint Automated Repository for Various Integrated Simulations); JARVIS Database; JARVIS Dataset; JARVIS dataset; JARVIS-Tools datasets; Joint Automated Repository for Various Integrated Simulations (JARVIS),https://jarvis.nist.gov; https://jarvis.nist.gov/; https://pages.nist.gov/jarvis/databases/,9,9,9
dataset_68145cf04333,C2DB,C2DB (Computational 2D Materials Database); Computational 2D Materials Database (C2DB),https://c2db.fysik.dtu.dk/,2,2,2
dataset_fb64b91da67e,2DMatPedia,2DMatPedia,,1,1,1
dataset_12a3418563ef,Perovskite Halides Dataset (literature-curated),Perovskite Halides Dataset (literature-curated),,1,1,1
dataset_b8405d6f3030,Li-containing Oxides Dataset (MP-derived),Li-containing Oxides Dataset (MP-derived),,1,1,1
dataset_c106bbbaba02,Transition Metal Oxides Dataset (MP-derived),Transition Metal Oxides Dataset (MP-derived),,1,1,1
dataset_3398d43c9118,Double Perovskite Oxides Database (Talapatra et al.),Double Perovskite Oxides Database (Talapatra et al.),,1,1,1
dataset_9a7a3a5a092f,MC3D dataset,MC3D dataset,https://github.com/usnistgov/jarvis/tree/master/jarvis/core,1,1,1
dataset_1b9ea456752c,HOIP Dataset,HOIP Dataset (Hybrid Organic–Inorganic Perovskite Dataset); Hybrid Organic-Inorganic Perovskite (HOIP) dataset,https://doi.org/10.1038/sdata.2017.152; https://doi.org/10.5061/dryad.gq3rg,2,2,2
dataset_8030c6211eeb,HiBoFL Local Database (PET-derived),HiBoFL Local Database (PET-derived),,1,1,1
dataset_da938cf04999,TextEdge,TextEdge,https://drive.google.com/drive/folders/1YCDBzwjwNRIc1FRkB662G3Y5AOWaokUG,1,1,1
dataset_39bdea8c48d7,"380,743 Unlabeled Crystal Structures (Merchant et al. 2023-derived)","380,743 Unlabeled Crystal Structures (Merchant et al. 2023-derived)",,1,1,1
dataset_487cfa495675,In-house DFT-relaxed novel structures dataset,In-house DFT-relaxed novel structures dataset,,1,1,1
dataset_f652501a560b,OpenKIM Interatomic Potential Repository,OpenKIM Interatomic Potential Repository,https://openkim.org,1,1,1
dataset_c666648c615a,Custom DFT dataset for FCC metals,Custom DFT dataset for FCC metals,,1,1,1
dataset_44aa2507e9ca,RadonPy Polymer Dataset,RadonPy Polymer Dataset,,1,1,1
dataset_bad7a184ddcb,AFLOW,AFLOW,https://aflowlib.org,1,1,1
dataset_c9e7ecfca1a5,MoleculeNet,MoleculeNet,https://moleculenet.org,1,1,1
dataset_fed40cdb3663,Materials Project (v2023.11.1) Dielectric Dataset,Materials Project (v2023.11.1) Dielectric Dataset,https://next-gen.materialsproject.org/api,1,1,1
dataset_f5fc3794aeae,matbench_dielectric,Matbench Dielectric Task; matbench_dielectric,https://matbench.materialsproject.org/; https://matbench.materialsvirtuallab.org/,2,2,2
dataset_9af6a2663ebe,JARVIS-2D,JARVIS-2D,https://jarvis.nist.gov,1,1,1
